ID,USIA,GENDER,PKRJ_ORTU,GAJI_ORTU,KECAMATAN,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,PARTAI_LEGISLATIF,PARTAI_PRES,CAPRES,SKOR_TOTAL,KELAS
22,17,Laki-laki,Lainnya,"Rp5.000.000 - Rp10.000.000,00",Grabag,Ya,Mengetahui,Ya,Media sosial dan media berita,Tidak Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,28,Tinggi
23,17,Perempuan,Buruh,"<Rp1.000.000,00",Grabag,Ya,Kurang tahu,Ya,Orang tua - keluarga atau Teman,Kurang Setuju,Ya,Sering,Ya,Tidak,Tidak terpengaruh,PDIP,PAN,Prabowo Subianto,28,Tinggi
24,17,Laki-laki,Buruh,"<Rp1.000.000,00",Grabag,Ya,Kurang tahu,Ya,Media sosial dan media berita,Kurang Setuju,Tidak,Jarang,Ya,Tidak,Tidak terpengaruh,Perindo,Perindo,Belum menentukan pilihan,23,Sedang
25,17,Laki-laki,Wirausaha,"Rp5.000.000 - Rp10.000.000,00",Grabag,Ya,Mengetahui,Ya,Keinginan sendiri,Kurang Setuju,Ya,Kadang-kadang,Ya,Ya,Terpengaruh,Gerindra,Gerindra,Prabowo Subianto,25,Sedang
26,17,Laki-laki,Petani / Nelayan,"<Rp1.000.000,00",Kutoarjo,Ya,Kurang tahu,Ya,Media sosial dan media berita,Tidak Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,Demokrat,PDIP,Lainnya,27,Tinggi
27,18,Perempuan,Karyawan Swasta,"<Rp1.000.000,00",Kaligesing,Ya,Kurang tahu,Ya,Media sosial dan media berita,Tidak Setuju,Ya,Jarang,Ya,Tidak,Tidak terpengaruh,Demokrat,Perindo,Ganjar Pranowo,26,Tinggi
28,16,Perempuan,Lainnya,"Rp1.000.000,00 - Rp5.000.000,00",Ngombol,Ya,Sangat mengetahui,Ya,Media sosial dan media berita,Tidak Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,29,Tinggi
29,17,Perempuan,Lainnya,"<Rp1.000.000,00",Gebang,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Kurang Setuju,Ragu-ragu,Jarang,Mungkin,Tidak,Ragu-ragu,PDIP,PDIP,Belum menentukan pilihan,20,Sedang
30,17,Perempuan,Lainnya,"Rp1.000.000,00 - Rp5.000.000,00",Kemiri,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Kurang Setuju,Ragu-ragu,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,Demokrat,Gerindra,Prabowo Subianto,23,Sedang
31,16,Perempuan,Karyawan Swasta,"Rp1.000.000,00 - Rp5.000.000,00",Kutoarjo,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Kurang Setuju,Ya,Jarang,Ya,Tidak,Tidak terpengaruh,Perindo,Gerindra,Belum menentukan pilihan,24,Sedang
32,17,Laki-laki,PNS,"Rp1.000.000,00 - Rp5.000.000,00",Banyuurip,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Biasa Saja,Tidak,Tidak pernah,Mungkin,Mungkin,Tidak terpengaruh,Golkar,Golkar,Prabowo Subianto,17,Rendah
33,17,Perempuan,Buruh,"Rp5.000.000 - Rp10.000.000,00",Ngombol,Ya,Tidak tahu,Tidak,Media sosial dan media berita,Biasa Saja,Tidak,Jarang,Ya,Mungkin,Tidak terpengaruh,Perindo,PDIP,Belum menentukan pilihan,19,Sedang
34,17,Perempuan,Petani / Nelayan,"Rp1.000.000,00 - Rp5.000.000,00",Banyuurip,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,Golkar,PDIP,Belum menentukan pilihan,22,Sedang
35,16,Perempuan,Lainnya,"Rp5.000.000 - Rp10.000.000,00",Bayan,Ya,Kurang tahu,Tidak,Orang tua - keluarga atau Teman,Kurang Setuju,Tidak,Jarang,Ya,Mungkin,Tidak terpengaruh,Golkar,PDIP,Belum menentukan pilihan,22,Sedang
36,17,Memilih tidak menjawab,Karyawan Swasta,"Rp1.000.000,00 - Rp5.000.000,00",Grabag,Ya,Kurang tahu,Tidak,Orang tua - keluarga atau Teman,Biasa Saja,Tidak,Jarang,Ya,Mungkin,Tidak terpengaruh,Golkar,PDIP,Belum menentukan pilihan,21,Sedang
37,16,Perempuan,Karyawan Swasta,"Rp1.000.000,00 - Rp5.000.000,00",Banyuurip,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Jarang,Ya,Tidak,Tidak terpengaruh,Perindo,PDIP,Belum menentukan pilihan,25,Sedang
38,17,Laki-laki,Karyawan Swasta,"Rp1.000.000,00 - Rp5.000.000,00",Bayan,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Biasa Saja,Ragu-ragu,Jarang,Mungkin,Mungkin,Tidak terpengaruh,Perindo,Gerindra,Prabowo Subianto,20,Sedang
39,16,Perempuan,Buruh,"<Rp1.000.000,00",Banyuurip,Tidak,Mengetahui,Tidak,Media sosial dan media berita,Biasa Saja,Ragu-ragu,Jarang,Ya,Tidak,Tidak terpengaruh,Golkar,PDIP,Belum menentukan pilihan,22,Sedang
40,17,Perempuan,Buruh,"<Rp1.000.000,00",Banyuurip,Ya,Mengetahui,Tidak,Media sosial dan media berita,Biasa Saja,Ya,Jarang,Ya,Tidak,Tidak terpengaruh,Golkar,Demokrat,Prabowo Subianto,24,Sedang
41,16,Perempuan,Guru,"Rp1.000.000,00 - Rp5.000.000,00",Bayan,Ya,Kurang tahu,Tidak,Orang tua - keluarga atau Teman,Kurang Setuju,Tidak,Jarang,Ya,Mungkin,Tidak terpengaruh,Golkar,PDIP,Belum menentukan pilihan,22,Sedang
42,17,Perempuan,Buruh,"<Rp1.000.000,00",Purworejo,Tidak,Tidak tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Tidak pernah,Ya,Tidak,Tidak terpengaruh,Gerindra,PDIP,Ganjar Pranowo,22,Sedang
43,17,Perempuan,PNS,"Rp1.000.000,00 - Rp5.000.000,00",Banyuurip,Ya,Mengetahui,Tidak,Orang tua - keluarga atau Teman,Tidak Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,Golkar,PDIP,Belum menentukan pilihan,28,Tinggi
44,16,Perempuan,Buruh,"Rp1.000.000,00 - Rp5.000.000,00",Gebang,Ya,Tidak tahu,Tidak,Media sosial dan media berita,Biasa Saja,Ragu-ragu,Tidak pernah,Mungkin,Tidak,Tidak terpengaruh,PDIP,PDIP,Belum menentukan pilihan,19,Sedang
45,17,Perempuan,Buruh,"<Rp1.000.000,00",Banyuurip,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Jarang,Ya,Tidak,Tidak terpengaruh,Demokrat,PDIP,Ganjar Pranowo,24,Sedang
46,17,Perempuan,Buruh,"<Rp1.000.000,00",Purworejo,Tidak,Kurang tahu,Tidak,Orang tua - keluarga atau Teman,Tidak Setuju,Ya,Jarang,Ya,Tidak,Tidak terpengaruh,PDIP,Demokrat,Belum menentukan pilihan,25,Sedang
47,16,Laki-laki,PNS,"Rp5.000.000 - Rp10.000.000,00",Grabag,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Sering,Ya,Tidak,Tidak terpengaruh,Golkar,PDIP,Lainnya,27,Tinggi
48,16,Perempuan,Buruh,"Rp1.000.000,00 - Rp5.000.000,00",Gebang,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Jarang,Ya,Tidak,Tidak terpengaruh,PAN,PDIP,Ganjar Pranowo,24,Sedang
49,17,Perempuan,Tidak Bekerja,"<Rp1.000.000,00",Gebang,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Biasa Saja,Ya,Tidak pernah,Ya,Mungkin,Tidak terpengaruh,Golkar,PDIP,Lainnya,20,Sedang
50,17,Laki-laki,Karyawan Swasta,"Rp1.000.000,00 - Rp5.000.000,00",Gebang,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ragu-ragu,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PAN,PDIP,Ganjar Pranowo,24,Sedang
51,17,Laki-laki,PNS,"Rp1.000.000,00 - Rp5.000.000,00",Purworejo,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Setuju,Ragu-ragu,Jarang,Mungkin,Mungkin,Ragu-ragu,Gerindra,Gerindra,Prabowo Subianto,18,Sedang
52,17,Laki-laki,PNS,"Rp1.000.000,00 - Rp5.000.000,00",Bruno,Ya,Mengetahui,Tidak,Keinginan sendiri,Tidak Setuju,Ya,Jarang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Prabowo Subianto,28,Tinggi
53,16,Perempuan,Buruh,"<Rp1.000.000,00",Banyuurip,Tidak,Kurang tahu,Tidak,Orang tua - keluarga atau Teman,Kurang Setuju,Ya,Tidak pernah,Ya,Tidak,Tidak terpengaruh,PAN,PAN,Belum menentukan pilihan,23,Sedang
54,17,Perempuan,Lainnya,"<Rp1.000.000,00",Banyuurip,Tidak,Kurang tahu,Tidak,Orang tua - keluarga atau Teman,Biasa Saja,Ya,Kadang-kadang,Mungkin,Mungkin,Tidak terpengaruh,Demokrat,Perindo,Prabowo Subianto,22,Sedang
55,16,Laki-laki,Petani / Nelayan,"Rp1.000.000,00 - Rp5.000.000,00",Bayan,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Tidak pernah,Ya,Tidak,Tidak terpengaruh,Golkar,PDIP,Ganjar Pranowo,23,Sedang
56,17,Perempuan,Karyawan Swasta,"Rp1.000.000,00 - Rp5.000.000,00",Bayan,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PAN,Gerindra,Prabowo Subianto,26,Tinggi
57,16,Perempuan,Buruh,"<Rp1.000.000,00",Gebang,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Biasa Saja,Ragu-ragu,Tidak pernah,Ya,Mungkin,Ragu-ragu,Demokrat,Golkar,Belum menentukan pilihan,19,Sedang
58,17,Laki-laki,PNS,"Rp1.000.000,00 - Rp5.000.000,00",Banyuurip,Ya,Mengetahui,Tidak,Orang tua - keluarga atau Teman,Biasa Saja,Ya,Jarang,Ya,Tidak,Tidak terpengaruh,Gerindra,Gerindra,Prabowo Subianto,25,Sedang
59,16,Laki-laki,Karyawan Swasta,"Rp1.000.000,00 - Rp5.000.000,00",Gebang,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ragu-ragu,Jarang,Ya,Tidak,Tidak terpengaruh,Gerindra,Gerindra,Prabowo Subianto,24,Sedang
60,17,Laki-laki,Lainnya,"Rp5.000.000 - Rp10.000.000,00",Bayan,Ya,Mengetahui,Tidak,Media sosial dan media berita,Tidak Setuju,Ragu-ragu,Tidak pernah,Ya,Tidak,Tidak terpengaruh,Gerindra,Gerindra,Prabowo Subianto,24,Sedang
61,17,Laki-laki,Karyawan Swasta,"Rp1.000.000,00 - Rp5.000.000,00",Grabag,Ya,Sangat mengetahui,Ya,Keinginan sendiri,Tidak Setuju,Ya,Sering,Ya,Tidak,Tidak terpengaruh,PDIP,Gerindra,Lainnya,32,Tinggi
62,17,Perempuan,Buruh,"<Rp1.000.000,00",Bayan,Ya,Mengetahui,Tidak,Orang tua - keluarga atau Teman,Biasa Saja,Ya,Jarang,Ya,Tidak,Tidak terpengaruh,Nasdem,Nasdem,Belum menentukan pilihan,25,Sedang
63,17,Perempuan,PNS,"Rp1.000.000,00 - Rp5.000.000,00",Banyuurip,Ya,Mengetahui,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,Demokrat,Gerindra,Prabowo Subianto,27,Tinggi
64,17,Laki-laki,PNS,"<Rp1.000.000,00",Bayan,Tidak,Kurang tahu,Tidak,Orang tua - keluarga atau Teman,Setuju,Ragu-ragu,Tidak pernah,Mungkin,Tidak,Tidak terpengaruh,Golkar,PDIP,Ganjar Pranowo,19,Sedang
65,16,Perempuan,Buruh,"<Rp1.000.000,00",Bayan,Ya,Mengetahui,Ya,Media sosial dan media berita,Kurang Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,Gerindra,Gerindra,Prabowo Subianto,27,Tinggi
66,17,Laki-laki,Buruh,"<Rp1.000.000,00",Kutoarjo,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Kurang Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,Demokrat,Demokrat,Prabowo Subianto,25,Sedang
67,16,Laki-laki,PNS,"Rp5.000.000 - Rp10.000.000,00",Bayan,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Kurang Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,Demokrat,Demokrat,Prabowo Subianto,25,Sedang
68,18,Laki-laki,Buruh,"<Rp1.000.000,00",Bayan,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Belum menentukan pilihan,26,Tinggi
69,17,Perempuan,Buruh,"<Rp1.000.000,00",Banyuurip,Ya,Kurang tahu,Ya,Media sosial dan media berita,Biasa Saja,Ragu-ragu,Kadang-kadang,Ya,Tidak,Ragu-ragu,Gerindra,Gerindra,Prabowo Subianto,23,Sedang
70,16,Perempuan,Petani / Nelayan,"<Rp1.000.000,00",Kutoarjo,Ya,Mengetahui,Tidak,Media sosial dan media berita,Setuju,Ya,Jarang,Ya,Tidak,Ragu-ragu,PDIP,Gerindra,Prabowo Subianto,22,Sedang
71,17,Perempuan,Lainnya,"<Rp1.000.000,00",Bayan,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,26,Tinggi
72,16,Perempuan,Petani / Nelayan,"<Rp1.000.000,00",Kutoarjo,Ya,Mengetahui,Tidak,Media sosial dan media berita,Kurang Setuju,Ya,Jarang,Mungkin,Tidak,Tidak terpengaruh,Demokrat,Gerindra,Prabowo Subianto,24,Sedang
73,17,Laki-laki,Wirausaha,"Rp1.000.000,00 - Rp5.000.000,00",Bayan,Ya,Mengetahui,Tidak,Orang tua - keluarga atau Teman,Biasa Saja,Ya,Kadang-kadang,Mungkin,Tidak,Tidak terpengaruh,PDIP,PDIP,Belum menentukan pilihan,25,Sedang
74,17,Perempuan,Lainnya,"<Rp1.000.000,00",Banyuurip,Ya,Mengetahui,Tidak,Media sosial dan media berita,Tidak Setuju,Tidak,Jarang,Ya,Ya,Tidak terpengaruh,Golkar,PDIP,Ganjar Pranowo,22,Sedang
75,17,Perempuan,Lainnya,"Rp1.000.000,00 - Rp5.000.000,00",Bayan,Tidak,Kurang tahu,Tidak,Orang tua - keluarga atau Teman,Biasa Saja,Ragu-ragu,Tidak pernah,Ya,Mungkin,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,20,Sedang
76,17,Perempuan,Buruh,"<Rp1.000.000,00",Bayan,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,26,Tinggi
77,17,Laki-laki,Petani / Nelayan,"Rp1.000.000,00 - Rp5.000.000,00",Banyuurip,Ya,Mengetahui,Tidak,Media sosial dan media berita,Kurang Setuju,Ragu-ragu,Kadang-kadang,Ya,Mungkin,Tidak terpengaruh,PDIP,Gerindra,Prabowo Subianto,24,Sedang
78,16,Perempuan,Lainnya,"<Rp1.000.000,00",Bayan,Ya,Mengetahui,Ya,Media sosial dan media berita,Tidak Setuju,Ya,Jarang,Ya,Tidak,Tidak terpengaruh,Gerindra,Gerindra,Ganjar Pranowo,27,Tinggi
79,17,Perempuan,PNS,"Rp1.000.000,00 - Rp5.000.000,00",Grabag,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Biasa Saja,Ragu-ragu,Jarang,Ya,Tidak,Tidak terpengaruh,PSI,Gerindra,Prabowo Subianto,21,Sedang
80,17,Perempuan,Petani / Nelayan,"<Rp1.000.000,00",Bayan,Ya,Kurang tahu,Tidak,Orang tua - keluarga atau Teman,Tidak Setuju,Tidak,Jarang,Ya,Tidak,Tidak terpengaruh,PDIP,Golkar,Belum menentukan pilihan,24,Sedang
81,17,Perempuan,Guru,"Rp1.000.000,00 - Rp5.000.000,00",Bagelen,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Tidak,Jarang,Ya,Mungkin,Tidak terpengaruh,Golkar,PDIP,Lainnya,21,Sedang
82,17,Perempuan,Karyawan Swasta,"Rp5.000.000 - Rp10.000.000,00",Banyuurip,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Tidak,Tidak pernah,Ya,Mungkin,Tidak terpengaruh,Demokrat,PDIP,Lainnya,20,Sedang
83,17,Laki-laki,Karyawan Swasta,">Rp10.000.000,00",Purworejo,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Sering,Ya,Tidak,Tidak terpengaruh,PDIP,Gerindra,Prabowo Subianto,27,Tinggi
84,16,Perempuan,Petani / Nelayan,"<Rp1.000.000,00",Banyuurip,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,Perindo,PDIP,Ganjar Pranowo,25,Sedang
85,16,Perempuan,Buruh,"Rp1.000.000,00 - Rp5.000.000,00",Purworejo,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ragu-ragu,Jarang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,24,Sedang
86,17,Laki-laki,Lainnya,"<Rp1.000.000,00",Banyuurip,Ya,Mengetahui,Tidak,Media sosial dan media berita,Biasa Saja,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,Gerindra,PDIP,Ganjar Pranowo,25,Sedang
87,16,Perempuan,Buruh,"<Rp1.000.000,00",Gebang,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Tidak,Tidak pernah,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,21,Sedang
88,16,Laki-laki,Wirausaha,"Rp1.000.000,00 - Rp5.000.000,00",Banyuurip,Ya,Sangat mengetahui,Tidak,Media sosial dan media berita,Biasa Saja,Ragu-ragu,Kadang-kadang,Mungkin,Mungkin,Ragu-ragu,Perindo,Demokrat,Ganjar Pranowo,22,Sedang
89,17,Laki-laki,Karyawan Swasta,"<Rp1.000.000,00",Banyuurip,Ya,Kurang tahu,Tidak,Tidak tahu,Tidak Setuju,Ragu-ragu,Jarang,Ya,Ya,Tidak terpengaruh,PKS,PKS,Ganjar Pranowo,21,Sedang
90,16,Laki-laki,Karyawan Swasta,"Rp1.000.000,00 - Rp5.000.000,00",Banyuurip,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Ragu-ragu,Kadang-kadang,Mungkin,Mungkin,Tidak terpengaruh,PDIP,Golkar,Ganjar Pranowo,23,Sedang
91,16,Perempuan,Karyawan Swasta,"Rp1.000.000,00 - Rp5.000.000,00",Bayan,Ya,Mengetahui,Tidak,Media sosial dan media berita,Kurang Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,Demokrat,PDIP,Prabowo Subianto,26,Tinggi
92,16,Perempuan,Buruh,"Rp1.000.000,00 - Rp5.000.000,00",Banyuurip,Tidak,Tidak tahu,Tidak,Orang tua - keluarga atau Teman,Biasa Saja,Ragu-ragu,Jarang,Mungkin,Tidak,Tidak terpengaruh,Demokrat,Demokrat,Belum menentukan pilihan,20,Sedang
93,16,Perempuan,Buruh,"<Rp1.000.000,00",Bayan,Tidak,Tidak tahu,Tidak,Tidak tahu,Kurang Setuju,Tidak,Tidak pernah,Ya,Tidak,Tidak terpengaruh,Nasdem,Nasdem,Ganjar Pranowo,18,Sedang
94,16,Laki-laki,Karyawan Swasta,"Rp1.000.000,00 - Rp5.000.000,00",Banyuurip,Ya,Tidak tahu,Tidak,Media sosial dan media berita,Kurang Setuju,Tidak,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,22,Sedang
95,17,Laki-laki,Karyawan Swasta,"Rp1.000.000,00 - Rp5.000.000,00",Banyuurip,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Kurang Setuju,Ya,Kadang-kadang,Ya,Mungkin,Tidak terpengaruh,Gerindra,Gerindra,Prabowo Subianto,23,Sedang
96,16,Laki-laki,PNS,"Rp1.000.000,00 - Rp5.000.000,00",Bayan,Tidak,Kurang tahu,Tidak,Tidak tahu,Tidak Setuju,Tidak,Jarang,Mungkin,Tidak,Tidak terpengaruh,Perindo,PDIP,Ganjar Pranowo,20,Sedang
97,16,Laki-laki,Petani / Nelayan,"<Rp1.000.000,00",Banyuurip,Tidak,Kurang tahu,Tidak,Media sosial dan media berita,Kurang Setuju,Ya,Jarang,Ya,Tidak,Tidak terpengaruh,Golkar,Perindo,Ganjar Pranowo,23,Sedang
